"","County","No. of people age 65y and older, in thousands","Prevalence, % (95%CI)","No. (95%CI) of people with AD, in thousands","Age 85 years or more, %","Women, %","Black or African American, %","Hispanic, %"
"807","Cherokee County, Iowa",2.8,"12.3 (11.7, 12.9)","0.3 (0.3, 0.4)",19.1,54.2,0.2,0.6
"808","Chickasaw County, Iowa",2.6,"10.9 (10.4, 11.5)","0.3 (0.3, 0.3)",13.5,53.3,0.2,0.4
"809","Clarke County, Iowa",1.8,"10.9 (10.3, 11.5)","0.2 (0.2, 0.2)",13.9,54.5,0.2,2.8
"810","Clay County, Iowa",3.5,"11.5 (11, 12.1)","0.4 (0.4, 0.4)",15.6,54.5,0.2,0.6
"811","Clayton County, Iowa",4.3,"11.5 (10.9, 12)","0.5 (0.5, 0.5)",15.9,52.5,0.3,0.7
"812","Clinton County, Iowa",9.5,"11 (10.4, 11.5)","1 (1, 1.1)",13.2,54.4,1.1,0.8
"813","Crawford County, Iowa",3,"11.4 (10.8, 12)","0.3 (0.3, 0.4)",15.4,52.5,0.3,4.4
"814","Dallas County, Iowa",12.2,"10.7 (10.1, 11.2)","1.3 (1.2, 1.4)",13.2,56.7,0.9,2
"815","Davis County, Iowa",1.6,"10.9 (10.3, 11.4)","0.2 (0.2, 0.2)",13.6,54,0.3,0.9
"816","Decatur County, Iowa",1.6,"11.5 (10.9, 12.1)","0.2 (0.2, 0.2)",15.4,54.3,0.7,0.7
"817","Delaware County, Iowa",3.5,"11 (10.4, 11.5)","0.4 (0.4, 0.4)",13.9,52.5,0.1,0.3
"818","Des Moines County, Iowa",8.4,"11.1 (10.6, 11.7)","0.9 (0.9, 1)",13.6,55.2,2.6,0.8
"819","Dickinson County, Iowa",4.8,"10.6 (10, 11.1)","0.5 (0.5, 0.5)",13.3,54,0.1,0.5
"820","Dubuque County, Iowa",18.2,"11.1 (10.6, 11.7)","2 (1.9, 2.1)",14.4,56.2,0.6,0.8
"821","Emmet County, Iowa",2.1,"11.4 (10.8, 11.9)","0.2 (0.2, 0.2)",15.6,54.2,0.1,1.7
"822","Fayette County, Iowa",4.3,"11.4 (10.8, 12)","0.5 (0.5, 0.5)",15,55,0.2,0.9
"823","Floyd County, Iowa",3.5,"11.2 (10.6, 11.8)","0.4 (0.4, 0.4)",13.9,54.3,0.3,1
"824","Franklin County, Iowa",2.3,"11.3 (10.7, 11.9)","0.3 (0.2, 0.3)",15,52.2,0.2,2
"825","Fremont County, Iowa",1.6,"11.1 (10.6, 11.7)","0.2 (0.2, 0.2)",15.1,53.6,0.1,1.1
"826","Greene County, Iowa",2,"11.3 (10.8, 11.9)","0.2 (0.2, 0.2)",14.7,54.7,0.1,0.7
"827","Grundy County, Iowa",2.6,"11.2 (10.7, 11.8)","0.3 (0.3, 0.3)",14.2,54.3,0.2,0.3
"828","Guthrie County, Iowa",2.5,"11.3 (10.7, 11.8)","0.3 (0.3, 0.3)",15.5,53.2,0.2,0.7
"829","Hamilton County, Iowa",3.1,"11.8 (11.2, 12.3)","0.4 (0.3, 0.4)",16.9,55.3,0.2,0.7
"830","Hancock County, Iowa",2.5,"11.6 (11, 12.2)","0.3 (0.3, 0.3)",16.4,54,0,1.1
"831","Hardin County, Iowa",3.9,"11.9 (11.3, 12.5)","0.5 (0.4, 0.5)",17,55.3,0.1,1.1
"832","Harrison County, Iowa",2.8,"10.9 (10.3, 11.4)","0.3 (0.3, 0.3)",13.9,52.8,0.3,0.7
"833","Henry County, Iowa",3.9,"10.9 (10.3, 11.4)","0.4 (0.4, 0.4)",13.1,54.5,0.4,1.2
"834","Howard County, Iowa",1.9,"11.5 (10.9, 12)","0.2 (0.2, 0.2)",15.4,52.8,0.1,0.6
"835","Humboldt County, Iowa",2,"11.9 (11.3, 12.4)","0.2 (0.2, 0.3)",16.8,53.9,0.2,1.1
"836","Ida County, Iowa",1.5,"11.7 (11.2, 12.3)","0.2 (0.2, 0.2)",16.9,53.7,0.3,0.6
"837","Iowa County, Iowa",3.2,"11.8 (11.3, 12.4)","0.4 (0.4, 0.4)",16.7,54.8,0.3,0.9
"838","Jackson County, Iowa",4.2,"10.9 (10.4, 11.4)","0.5 (0.4, 0.5)",14.2,53.2,0.2,0.7
"839","Jasper County, Iowa",7.3,"11.2 (10.6, 11.8)","0.8 (0.8, 0.9)",14.5,55.2,0.5,0.7
"840","Jefferson County, Iowa",4.5,"9.3 (8.8, 9.8)","0.4 (0.4, 0.4)",10.6,51.8,0.8,1
"841","Johnson County, Iowa",19.7,"10.1 (9.6, 10.7)","2 (1.9, 2.1)",11.9,55.1,1.9,1.8
"842","Jones County, Iowa",4.4,"11.3 (10.7, 11.8)","0.5 (0.5, 0.5)",15,52.8,0.2,0.6
"843","Keokuk County, Iowa",2.3,"11.5 (10.9, 12.1)","0.3 (0.2, 0.3)",16,53.3,0.3,0.5
"844","Kossuth County, Iowa",3.6,"12.2 (11.6, 12.7)","0.4 (0.4, 0.5)",17.3,53.6,0.4,0.7
"845","Lee County, Iowa",7.2,"10.5 (9.9, 11)","0.7 (0.7, 0.8)",12,54.9,1.8,1.9
"846","Linn County, Iowa",38,"10.8 (10.2, 11.3)","4.1 (3.9, 4.3)",13,55.8,1.6,1
"847","Louisa County, Iowa",2.2,"11.1 (10.5, 11.8)","0.2 (0.2, 0.3)",14,54.3,0.4,4.6
"848","Lucas County, Iowa",1.9,"11 (10.5, 11.6)","0.2 (0.2, 0.2)",13.6,52.6,0.1,0.6
"849","Lyon County, Iowa",2.3,"12.2 (11.7, 12.8)","0.3 (0.3, 0.3)",18.4,55.3,0.2,0.5
"850","Madison County, Iowa",2.9,"10.2 (9.7, 10.8)","0.3 (0.3, 0.3)",11.5,53.9,0.2,0.7
"851","Mahaska County, Iowa",4.1,"11 (10.5, 11.6)","0.5 (0.4, 0.5)",14.1,54.5,0.3,0.8
"852","Marion County, Iowa",6.2,"10.8 (10.2, 11.3)","0.7 (0.6, 0.7)",13,54.5,0.5,0.9
"853","Marshall County, Iowa",7.3,"11.2 (10.6, 11.8)","0.8 (0.8, 0.9)",13.8,53.5,0.8,5
"854","Mills County, Iowa",2.9,"9.8 (9.3, 10.3)","0.3 (0.3, 0.3)",11.2,52.2,0.4,1
"855","Mitchell County, Iowa",2.3,"12.5 (11.9, 13)","0.3 (0.3, 0.3)",18.5,54.9,0.1,0.5
"856","Monona County, Iowa",2.1,"12.6 (12, 13.2)","0.3 (0.3, 0.3)",19,55.7,0.2,0.8
"857","Monroe County, Iowa",1.6,"10.5 (10, 11)","0.2 (0.2, 0.2)",11.7,54.5,0.4,0.6
"858","Montgomery County, Iowa",2.2,"11.5 (10.9, 12)","0.3 (0.2, 0.3)",15.8,55.8,0.2,1
"859","Muscatine County, Iowa",7.5,"10.5 (9.9, 11.1)","0.8 (0.7, 0.8)",11.8,54.4,1,6.3
"860","O'Brien County, Iowa",2.9,"12.4 (11.8, 12.9)","0.4 (0.3, 0.4)",19,55.1,0.2,0.8
"861","Osceola County, Iowa",1.4,"12.5 (11.8, 13.1)","0.2 (0.2, 0.2)",18.3,53.6,0.1,2
"862","Page County, Iowa",3.5,"11.2 (10.6, 11.7)","0.4 (0.4, 0.4)",14.7,54.5,0.4,0.5
"863","Palo Alto County, Iowa",2,"12.4 (11.8, 13)","0.2 (0.2, 0.3)",18.9,55.8,0.2,1.2
"864","Plymouth County, Iowa",4.9,"11.2 (10.6, 11.7)","0.5 (0.5, 0.6)",15.1,54.1,0.1,1
"865","Pocahontas County, Iowa",1.6,"11.7 (11.1, 12.2)","0.2 (0.2, 0.2)",15.4,53.5,0.3,0.6
"866","Polk County, Iowa",68.2,"10.5 (9.9, 11)","7.1 (6.8, 7.5)",12.2,56.2,3.1,2.2
"867","Pottawattamie County, Iowa",17.2,"10.5 (9.9, 11.1)","1.8 (1.7, 1.9)",12.3,55.2,0.7,2.8
"868","Poweshiek County, Iowa",3.9,"11.5 (10.9, 12.1)","0.4 (0.4, 0.5)",15.3,55.3,0.4,0.9
"869","Ringgold County, Iowa",1.2,"12.9 (12.3, 13.5)","0.1 (0.1, 0.2)",19.7,56.1,0.5,0.8
"870","Sac County, Iowa",2.3,"12.1 (11.5, 12.7)","0.3 (0.3, 0.3)",18.6,55.2,0,0.5
"871","Scott County, Iowa",29.8,"10.9 (10.3, 11.4)","3.2 (3.1, 3.4)",12.7,55,3.7,2.4
"872","Shelby County, Iowa",2.7,"12.2 (11.6, 12.8)","0.3 (0.3, 0.3)",17.7,54.6,0.2,1.1
"873","Sioux County, Iowa",5.8,"12 (11.4, 12.6)","0.7 (0.7, 0.7)",17.4,55.1,0.1,1.6
"874","Story County, Iowa",12.8,"10.8 (10.2, 11.3)","1.4 (1.3, 1.4)",13.5,54.7,0.8,1
"875","Tama County, Iowa",3.4,"11.5 (10.9, 12.1)","0.4 (0.4, 0.4)",15.8,54.1,0.2,1.7
"876","Taylor County, Iowa",1.4,"11.3 (10.8, 11.9)","0.2 (0.2, 0.2)",14.9,51.8,0.3,1.5
"877","Union County, Iowa",2.6,"11.4 (10.9, 12)","0.3 (0.3, 0.3)",15.3,55.1,0.3,0.5
"878","Van Buren County, Iowa",1.6,"10 (9.5, 10.6)","0.2 (0.2, 0.2)",11,52.8,0.1,0.8
"879","Wapello County, Iowa",6.6,"10.7 (10.2, 11.3)","0.7 (0.7, 0.7)",13,55.1,1,2.6
"880","Warren County, Iowa",8.7,"10.4 (9.8, 10.9)","0.9 (0.9, 0.9)",12.3,54.4,0.5,1
"881","Washington County, Iowa",4.4,"11.3 (10.7, 11.8)","0.5 (0.5, 0.5)",15,54.6,0.3,1.3
"882","Wayne County, Iowa",1.4,"11.8 (11.2, 12.4)","0.2 (0.2, 0.2)",16.6,55.3,0.2,0.8
"883","Webster County, Iowa",6.9,"11.1 (10.6, 11.7)","0.8 (0.7, 0.8)",14.2,54.8,1.4,1.4
"884","Winnebago County, Iowa",2.3,"11.6 (11, 12.2)","0.3 (0.3, 0.3)",16.2,55.3,0.1,1.6
"885","Winneshiek County, Iowa",4.4,"11.3 (10.7, 11.8)","0.5 (0.5, 0.5)",14.8,53.1,0.2,0.3
"886","Woodbury County, Iowa",16,"10.5 (9.9, 11.1)","1.7 (1.6, 1.8)",11.9,55,1.2,4.5
"887","Worth County, Iowa",1.6,"11 (10.4, 11.5)","0.2 (0.2, 0.2)",14.1,52.2,0.1,1.4
"888","Wright County, Iowa",2.9,"12.3 (11.6, 12.9)","0.4 (0.3, 0.4)",18.3,53.3,0.1,2.4
"889","Allen County, Kansas",2.7,"11.3 (10.7, 11.9)","0.3 (0.3, 0.3)",13.9,56,1.3,1.6
"890","Anderson County, Kansas",1.7,"11.5 (10.9, 12)","0.2 (0.2, 0.2)",14.8,53.4,0.4,1
"891","Atchison County, Kansas",2.9,"11.6 (11, 12.1)","0.3 (0.3, 0.4)",13.3,55.5,4.1,1.2
"892","Barber County, Kansas",1.1,"10.4 (9.9, 11)","0.1 (0.1, 0.1)",12.8,51.7,0.5,1.3
"893","Barton County, Kansas",5.2,"11.7 (11.1, 12.3)","0.6 (0.6, 0.6)",15.9,54.5,1.1,4
"894","Bourbon County, Kansas",2.9,"11.2 (10.6, 11.8)","0.3 (0.3, 0.3)",14.7,55.4,1.9,1.1
"895","Brown County, Kansas",2,"10.6 (10, 11.1)","0.2 (0.2, 0.2)",11.8,54.6,2.1,1.9
"896","Butler County, Kansas",10.9,"10.6 (10.1, 11.2)","1.2 (1.1, 1.2)",13.4,54.5,0.7,1.8
"897","Chase County, Kansas",0.6,"11.1 (10.5, 11.7)","0.1 (0.1, 0.1)",13.4,53.8,0.3,1.7
"898","Chautauqua County, Kansas",0.8,"11.9 (11.3, 12.5)","0.1 (0.1, 0.1)",15.1,52.2,1,1.4
"899","Cherokee County, Kansas",3.9,"10.2 (9.7, 10.8)","0.4 (0.4, 0.4)",10.5,54.2,0.4,0.9
"900","Cheyenne County, Kansas",0.7,"13.1 (12.5, 13.8)","0.1 (0.1, 0.1)",21.5,55.7,0,2.8
"901","Clark County, Kansas",0.4,"12.9 (12.2, 13.5)","0.1 (0.1, 0.1)",18.3,57.4,0.5,2.3
"902","Clay County, Kansas",1.9,"11.6 (11, 12.1)","0.2 (0.2, 0.2)",15.8,54.5,0.2,0.8
"903","Cloud County, Kansas",1.9,"12.3 (11.7, 12.8)","0.2 (0.2, 0.2)",17.4,57.3,0.5,1
"904","Coffey County, Kansas",1.9,"10.5 (10, 11.1)","0.2 (0.2, 0.2)",12.4,53.4,0.2,1
"905","Comanche County, Kansas",0.5,"11.2 (10.6, 11.7)","0.1 (0, 0.1)",14,55,0.4,1.8
"906","Cowley County, Kansas",6.6,"11.4 (10.8, 12)","0.7 (0.7, 0.8)",14.3,55,1.7,3.3
"907","Crawford County, Kansas",6.2,"11.2 (10.6, 11.8)","0.7 (0.7, 0.7)",14.7,56.7,0.9,1.5
"908","Decatur County, Kansas",0.8,"13.1 (12.5, 13.7)","0.1 (0.1, 0.1)",22,55,0.5,0.9
"909","Dickinson County, Kansas",3.8,"11.7 (11.1, 12.3)","0.4 (0.4, 0.5)",15.9,54.2,0.7,1.9
"910","Doniphan County, Kansas",1.5,"11.1 (10.5, 11.6)","0.2 (0.2, 0.2)",14,52.4,2.1,0.7
"911","Douglas County, Kansas",16.3,"10.2 (9.7, 10.8)","1.7 (1.6, 1.7)",11.5,54.9,2.6,2.2
"912","Edwards County, Kansas",0.6,"11.3 (10.6, 12)","0.1 (0.1, 0.1)",11.3,51.9,0.5,6.6
"913","Elk County, Kansas",0.7,"11.4 (10.9, 12)","0.1 (0.1, 0.1)",14.5,53.6,0.3,0.4
"914","Ellis County, Kansas",4.8,"11.1 (10.6, 11.7)","0.5 (0.5, 0.6)",14.9,54.7,1.3,1.2
"915","Ellsworth County, Kansas",1.3,"11.5 (10.9, 12.1)","0.1 (0.1, 0.2)",15,53.8,0.2,3.5
"916","Finney County, Kansas",4.2,"11.5 (10.6, 12.5)","0.5 (0.4, 0.5)",12.1,52.8,1.4,25.8
"917","Ford County, Kansas",3.9,"12 (11.2, 12.8)","0.5 (0.4, 0.5)",15.1,53.2,1.4,18.3
"918","Franklin County, Kansas",4.5,"10.1 (9.5, 10.6)","0.5 (0.4, 0.5)",10.3,54,1,2.1
"919","Geary County, Kansas",2.9,"12.4 (11.7, 13.1)","0.4 (0.3, 0.4)",13.4,56.8,12.7,5.1
"920","Gove County, Kansas",0.6,"12.7 (12.1, 13.4)","0.1 (0.1, 0.1)",19.2,53.9,0.6,0.9
"921","Graham County, Kansas",0.6,"12.5 (11.9, 13.1)","0.1 (0.1, 0.1)",15.3,52.3,3.7,1.4
"922","Grant County, Kansas",1.1,"11.4 (10.5, 12.3)","0.1 (0.1, 0.1)",12.1,54.4,0.4,21
"923","Gray County, Kansas",1,"11.6 (11, 12.2)","0.1 (0.1, 0.1)",15.2,52.9,0.1,5.4
"924","Greeley County, Kansas",0.2,"13 (12.3, 13.6)","0 (0, 0)",20.1,53.1,0,4.6
"925","Greenwood County, Kansas",1.6,"10.7 (10.2, 11.3)","0.2 (0.2, 0.2)",13.1,52.2,0.4,1
"926","Hamilton County, Kansas",0.4,"9.4 (8.9, 10)","0 (0, 0)",7.3,52.4,0,7.1
"927","Harper County, Kansas",1.3,"11.9 (11.4, 12.5)","0.2 (0.1, 0.2)",16.5,55.6,0.5,1.4
"928","Harvey County, Kansas",6.9,"12.4 (11.7, 13)","0.9 (0.8, 0.9)",17.2,55,1.1,4.9
"929","Haskell County, Kansas",0.6,"10.9 (10.2, 11.7)","0.1 (0.1, 0.1)",12.7,53.7,0,14.5
"930","Hodgeman County, Kansas",0.4,"12.4 (11.8, 13)","0.1 (0, 0.1)",16.5,49.5,1.2,1.5
"931","Jackson County, Kansas",2.6,"10.1 (9.6, 10.6)","0.3 (0.2, 0.3)",11.1,52.8,0.5,1.1
"932","Jefferson County, Kansas",3.8,"10.1 (9.6, 10.7)","0.4 (0.4, 0.4)",11.5,51.5,0.5,1.2
"933","Jewell County, Kansas",0.9,"11.8 (11.3, 12.4)","0.1 (0.1, 0.1)",16.8,50.7,0.3,1
"934","Johnson County, Kansas",94.1,"10.5 (10, 11.1)","9.9 (9.4, 10.4)",12.5,55.7,2.3,2.5
"935","Kearny County, Kansas",0.6,"12.6 (11.8, 13.5)","0.1 (0.1, 0.1)",16.6,56.2,0.2,14.7
"936","Kingman County, Kansas",1.5,"11.5 (10.9, 12.1)","0.2 (0.2, 0.2)",14.8,53.3,0.2,1.1
"937","Kiowa County, Kansas",0.6,"11.3 (10.7, 11.8)","0.1 (0.1, 0.1)",15.2,53.9,0.4,0.9
"938","Labette County, Kansas",4,"11.3 (10.7, 11.9)","0.4 (0.4, 0.5)",13.8,55.4,3.3,2.1
"939","Lane County, Kansas",0.4,"11.2 (10.6, 11.8)","0 (0, 0)",13.8,54.4,0.3,0.8
"940","Leavenworth County, Kansas",12.7,"10.4 (9.8, 10.9)","1.3 (1.3, 1.4)",11,54,5.1,2.1
"941","Lincoln County, Kansas",0.8,"12.2 (11.6, 12.8)","0.1 (0.1, 0.1)",19.1,54.2,0.5,1.7
"942","Linn County, Kansas",2.2,"10.3 (9.8, 10.9)","0.2 (0.2, 0.2)",12,50.9,0.5,1
"943","Logan County, Kansas",0.6,"12.1 (11.5, 12.7)","0.1 (0.1, 0.1)",18,54.3,0.2,1
"944","Lyon County, Kansas",5.4,"11.4 (10.7, 12.1)","0.6 (0.6, 0.7)",14.5,54.6,1.3,8.1
"945","McPherson County, Kansas",5.9,"12.1 (11.5, 12.7)","0.7 (0.7, 0.7)",17.9,55.3,0.4,1.4
"946","Marion County, Kansas",2.8,"12.2 (11.6, 12.8)","0.3 (0.3, 0.4)",17.5,53.8,0.4,1.3
"947","Marshall County, Kansas",2.2,"11.9 (11.3, 12.5)","0.3 (0.3, 0.3)",17.1,52.2,0.3,0.8
"948","Meade County, Kansas",0.8,"12.9 (12.2, 13.6)","0.1 (0.1, 0.1)",20.2,51,0.3,5.9
"949","Miami County, Kansas",6.1,"10.8 (10.3, 11.4)","0.7 (0.6, 0.7)",13.1,54.1,1.2,1.1
"950","Mitchell County, Kansas",1.4,"11.8 (11.3, 12.4)","0.2 (0.2, 0.2)",16.3,53.6,0.1,0.6
"951","Montgomery County, Kansas",6.6,"11.3 (10.7, 11.8)","0.7 (0.7, 0.8)",13.4,55,3.3,1.9
"952","Morris County, Kansas",1.4,"11.3 (10.7, 11.9)","0.2 (0.2, 0.2)",15.2,53.7,0.4,1.8
"953","Morton County, Kansas",0.6,"13.1 (12.4, 13.9)","0.1 (0.1, 0.1)",19.6,55.5,0.2,8.7
"954","Nemaha County, Kansas",2.1,"13.3 (12.7, 13.9)","0.3 (0.3, 0.3)",21.2,54.9,0.6,0.6
"955","Neosho County, Kansas",3.2,"11.4 (10.8, 12)","0.4 (0.4, 0.4)",14.8,55.5,0.8,2.4
"956","Ness County, Kansas",0.7,"12.5 (11.9, 13.1)","0.1 (0.1, 0.1)",19.1,55.2,0,1
"957","Norton County, Kansas",1.1,"12.3 (11.7, 12.9)","0.1 (0.1, 0.1)",17.6,54.1,0.4,1
"958","Osage County, Kansas",3.3,"10.4 (9.8, 10.9)","0.3 (0.3, 0.4)",12.2,52.2,0.3,1
"959","Osborne County, Kansas",0.9,"12.5 (11.9, 13.1)","0.1 (0.1, 0.1)",18.5,53.8,0,0.7
"960","Ottawa County, Kansas",1.2,"10.4 (9.8, 10.9)","0.1 (0.1, 0.1)",11.3,52,0.2,0.9
"961","Pawnee County, Kansas",1.4,"12 (11.4, 12.7)","0.2 (0.2, 0.2)",16.3,55.3,2.4,4
"962","Phillips County, Kansas",1.3,"11 (10.5, 11.6)","0.1 (0.1, 0.2)",14,51.8,0.1,1.1
"963","Pottawatomie County, Kansas",3.7,"10.6 (10.1, 11.2)","0.4 (0.4, 0.4)",13.2,53.7,0.8,2.2
"964","Pratt County, Kansas",1.9,"12.3 (11.7, 12.9)","0.2 (0.2, 0.2)",18.3,54.8,0.8,3
"965","Rawlins County, Kansas",0.7,"11.8 (11.2, 12.4)","0.1 (0.1, 0.1)",16.5,52.2,0.1,2
"966","Reno County, Kansas",12.7,"11.8 (11.1, 12.4)","1.5 (1.4, 1.6)",15.8,56.2,1.3,3.7
"967","Republic County, Kansas",1.3,"12.7 (12.1, 13.3)","0.2 (0.2, 0.2)",20.3,54.6,0.2,0.5
"968","Rice County, Kansas",1.9,"11.6 (11, 12.3)","0.2 (0.2, 0.2)",14.7,55.6,1,4
"969","Riley County, Kansas",7.5,"11 (10.4, 11.5)","0.8 (0.8, 0.9)",14,54.5,3,2.4
"970","Rooks County, Kansas",1.1,"11.4 (10.8, 11.9)","0.1 (0.1, 0.1)",15.3,54.8,0.6,0.7
"971","Rush County, Kansas",0.8,"11.9 (11.4, 12.5)","0.1 (0.1, 0.1)",17.8,54.6,0,1
"972","Russell County, Kansas",1.7,"12 (11.4, 12.6)","0.2 (0.2, 0.2)",17.6,53.8,0.3,0.8
"973","Saline County, Kansas",10.2,"11.3 (10.7, 11.9)","1.2 (1.1, 1.2)",14.3,55.1,2.1,2.9
"974","Scott County, Kansas",1,"11.9 (11.3, 12.6)","0.1 (0.1, 0.1)",17,51.4,0.1,5.3
"975","Sedgwick County, Kansas",80.1,"11 (10.4, 11.6)","8.8 (8.3, 9.3)",12.3,54.8,6.5,4.8
"976","Seward County, Kansas",2.3,"12.3 (11.3, 13.2)","0.3 (0.3, 0.3)",13.3,54.9,3.2,26.6
"977","Shawnee County, Kansas",34,"11.2 (10.5, 11.8)","3.8 (3.6, 4)",12.5,55.8,5.5,5.1
"978","Sheridan County, Kansas",0.6,"12.8 (12.1, 13.4)","0.1 (0.1, 0.1)",19.8,53.9,0,1.1
"979","Sherman County, Kansas",1.2,"11.3 (10.7, 12)","0.1 (0.1, 0.1)",14,51.9,0.4,4.5
"980","Smith County, Kansas",1,"12.6 (12, 13.2)","0.1 (0.1, 0.1)",20.3,50.7,0,0.6
"981","Stafford County, Kansas",0.9,"12.3 (11.7, 13)","0.1 (0.1, 0.1)",18.4,52.4,0.3,2.2
"982","Stanton County, Kansas",0.4,"12.4 (11.6, 13.3)","0 (0, 0)",18.1,52.8,0.8,17.8
"983","Stevens County, Kansas",0.8,"12.9 (12.1, 13.6)","0.1 (0.1, 0.1)",18.7,55.5,0.6,12.8
"984","Sumner County, Kansas",4.5,"11.1 (10.5, 11.7)","0.5 (0.5, 0.5)",14.1,53.9,1,2.8
"985","Thomas County, Kansas",1.4,"11.8 (11.2, 12.4)","0.2 (0.2, 0.2)",16.8,54,0.4,2.2
"986","Trego County, Kansas",0.7,"11.1 (10.6, 11.7)","0.1 (0.1, 0.1)",16,51.9,0.4,0
"987","Wabaunsee County, Kansas",1.5,"10.5 (9.9, 11)","0.2 (0.1, 0.2)",12.3,51.7,0.4,1.8
"988","Wallace County, Kansas",0.4,"13.1 (12.5, 13.8)","0 (0, 0)",22.1,52.4,0,2.8
"989","Washington County, Kansas",1.3,"12.6 (12, 13.2)","0.2 (0.2, 0.2)",19,54.6,0.1,0.7
"990","Wichita County, Kansas",0.4,"12.6 (11.7, 13.4)","0.1 (0.1, 0.1)",17.6,51.4,0,14.3
"991","Wilson County, Kansas",1.9,"10.7 (10.1, 11.2)","0.2 (0.2, 0.2)",13.2,53.8,0.5,1
"992","Woodson County, Kansas",0.8,"10.9 (10.3, 11.4)","0.1 (0.1, 0.1)",14.9,51.2,0.4,0.4
"993","Wyandotte County, Kansas",21.6,"13.1 (12.4, 13.9)","2.8 (2.7, 3)",11.7,56.2,27.6,11.6
"994","Adair County, Kentucky",3.8,"10.3 (9.8, 10.8)","0.4 (0.4, 0.4)",10.9,52.7,1.9,1
"995","Allen County, Kentucky",3.9,"9.6 (9.1, 10.1)","0.4 (0.4, 0.4)",8.9,53.8,1.1,0.6
"996","Anderson County, Kentucky",3.8,"9.9 (9.4, 10.4)","0.4 (0.4, 0.4)",9.5,55.7,2.4,0.8
"997","Ballard County, Kentucky",1.7,"10.8 (10.3, 11.4)","0.2 (0.2, 0.2)",12.2,53.9,3.3,0.7
"998","Barren County, Kentucky",8,"10.8 (10.2, 11.3)","0.9 (0.8, 0.9)",12,57.1,3.3,0.7
"999","Bath County, Kentucky",2.2,"10.2 (9.6, 10.7)","0.2 (0.2, 0.2)",10.8,54.3,2.2,0.7
"1000","Bell County, Kentucky",5.2,"10.3 (9.8, 10.8)","0.5 (0.5, 0.6)",11.1,56.7,2.5,0.6
"1001","Boone County, Kentucky",19.4,"9.6 (9.1, 10.1)","1.9 (1.8, 2)",9.7,55.1,1.5,1.3
"1002","Bourbon County, Kentucky",4,"11.3 (10.7, 11.8)","0.4 (0.4, 0.5)",12.3,55.5,6.6,1.4
"1003","Boyd County, Kentucky",9.6,"10.4 (9.9, 11)","1 (1, 1.1)",11.6,56,1.2,0.6
"1004","Boyle County, Kentucky",6,"11.6 (11, 12.2)","0.7 (0.7, 0.7)",13.6,57.4,5.9,1.1
"1005","Bracken County, Kentucky",1.5,"9.3 (8.8, 9.8)","0.1 (0.1, 0.1)",8.8,54,0.6,0.3
"1006","Breathitt County, Kentucky",2.3,"9 (8.5, 9.5)","0.2 (0.2, 0.2)",8.1,55.7,0.4,1.2
"1007","Breckinridge County, Kentucky",4.2,"9.8 (9.3, 10.3)","0.4 (0.4, 0.4)",9.5,53,2.5,0.5
"1008","Bullitt County, Kentucky",13.8,"9.3 (8.8, 9.8)","1.3 (1.2, 1.4)",8.7,53.6,0.7,0.7
"1009","Butler County, Kentucky",2.4,"9.9 (9.4, 10.4)","0.2 (0.2, 0.3)",10.1,52.9,0.2,0.9
"1010","Caldwell County, Kentucky",2.7,"10.8 (10.3, 11.4)","0.3 (0.3, 0.3)",12.3,56.2,3.8,0.7
"1011","Calloway County, Kentucky",7,"10.4 (9.9, 10.9)","0.7 (0.7, 0.8)",11.2,54.7,2.1,1
"1012","Campbell County, Kentucky",15.9,"10.1 (9.6, 10.6)","1.6 (1.5, 1.7)",11.7,55.2,1,0.8
"1013","Carlisle County, Kentucky",1,"11.3 (10.7, 11.8)","0.1 (0.1, 0.1)",13.6,55.9,0.7,1.1
"1014","Carroll County, Kentucky",1.7,"10.3 (9.8, 10.9)","0.2 (0.2, 0.2)",11.6,55.8,1.7,1.4
"1015","Carter County, Kentucky",5.2,"9.9 (9.4, 10.4)","0.5 (0.5, 0.5)",9.8,54.9,0.2,0.6
"1016","Casey County, Kentucky",3.3,"10 (9.5, 10.5)","0.3 (0.3, 0.4)",10.3,55.9,0.7,0.9
"1017","Christian County, Kentucky",9.2,"12.4 (11.8, 13)","1.1 (1.1, 1.2)",13,57,16.7,1
"1018","Clark County, Kentucky",6.8,"10.5 (10, 11)","0.7 (0.7, 0.7)",10.8,55.8,4.6,0.9
"1019","Clay County, Kentucky",3.1,"9.5 (9, 10)","0.3 (0.3, 0.3)",9,55.7,1.8,0.7
"1020","Clinton County, Kentucky",2.1,"9.9 (9.4, 10.4)","0.2 (0.2, 0.2)",9.3,53.7,0.6,1.1
"1021","Crittenden County, Kentucky",1.9,"9.9 (9.4, 10.5)","0.2 (0.2, 0.2)",9.7,53.3,1.1,0.5
"1022","Cumberland County, Kentucky",1.5,"10.3 (9.7, 10.8)","0.2 (0.1, 0.2)",10,54.3,3,0.9
"1023","Daviess County, Kentucky",18,"10.7 (10.2, 11.3)","1.9 (1.8, 2)",12.3,56.3,3.2,0.7
"1024","Edmonson County, Kentucky",2.6,"10 (9.5, 10.5)","0.3 (0.2, 0.3)",10.7,53.1,0.6,0.5
"1025","Elliott County, Kentucky",1.6,"10.2 (9.7, 10.7)","0.2 (0.2, 0.2)",10.8,52.3,0.2,0.3
